HerdID,Date,Year,Latitude,Longitude,Group Size
MXHERD-22-176,31-Jul-22,2022,79.698699,-87.230945,1
MXHERD-22-177,31-Jul-22,2022,79.697491,-87.815816,3
MXHERD-22-178,31-Jul-22,2022,79.571991,-87.640061,1
MXHERD-22-179,31-Jul-22,2022,79.482868,-87.951322,8
MXHERD-22-18,30-Jul-22,2022,79.293043,-85.790759,15
MXHERD-22-180,31-Jul-22,2022,79.448811,-88.506007,1
MXHERD-22-19,31-Jul-22,2022,79.478032,-88.509031,5
MXHERD-22-20,31-Jul-22,2022,79.746168,-88.995,10
MXHERD-22-21,13-Aug-22,2022,NA,NA,3
MXHERD-22-23,15-Aug-22,2022,80.150878,-85.465224,1
MXHERD-22-24,15-Aug-22,2022,80.162213,-85.312192,1
MXHERD-22-25,15-Aug-22,2022,80.219955,-85.2116,4
MXHERD-22-26,15-Aug-22,2022,NA,NA,2
MXHERD-22-27,15-Aug-22,2022,NA,NA,1
MXHERD-22-28,16-Aug-22,2022,80.130286,-85.665755,3
MXHERD-22-29,16-Aug-22,2022,80.130286,-85.665755,1
MXHERD-22-30,16-Aug-22,2022,80.173439,-85.51561,2
MXHERD-22-31,17-Aug-22,2022,NA,NA,2
MXHERD-22-32,18-Aug-22,2022,NA,NA,3
MXHERD-22-33,18-Aug-22,2022,NA,NA,2
MXHERD-22-34,18-Aug-22,2022,NA,NA,1
MXHERD-22-35,18-Aug-22,2022,80.15525,-85.43412,4
MXHERD-22-36,18-Aug-22,2022,NA,NA,1
MXHERD-22-37,18-Aug-22,2022,80.239962,-85.425636,8
MXHERD-22-38,19-Aug-22,2022,NA,NA,12
MXHERD-22-39,19-Aug-22,2022,80.146976,-85.756442,5
MXHERD-22-41,19-Aug-22,2022,NA,NA,6
MXHERD-22-42,20-Aug-22,2022,NA,NA,3
MXHERD-22-43,20-Aug-22,2022,NA,NA,2
MXHERD-22-44,20-Aug-22,2022,NA,NA,2
MXHERD-22-47,30-Jul-22,2022,80.015761,-83.102487,1
MXHERD-22-48,30-Jul-22,2022,79.722786,-87.608925,1
MXHERD-22-49,31-Jul-22,2022,79.686736,-88.794632,4
MXHERD-22-50,31-Jul-22,2022,79.79183,-89.102772,6
MXHERD-22-51,31-Jul-22,2022,79.76965,-89.119602,16
MXHERD-22-52,31-Jul-22,2022,79.850489,-88.671937,10
MXHERD-22-53,31-Jul-22,2022,79.849588,-88.567477,6
MXHERD-22-54,31-Jul-22,2022,79.858859,-88.526609,8
MXHERD-22-55,31-Jul-22,2022,79.882873,-88.485235,24
MXHERD-22-56,31-Jul-22,2022,79.897442,-88.467055,7
MXHERD-22-57,31-Jul-22,2022,79.900832,-88.459146,2
MXHERD-22-58,31-Jul-22,2022,79.914302,-88.449428,11
MXHERD-22-59,31-Jul-22,2022,79.946722,-88.395432,9
MXHERD-22-60,31-Jul-22,2022,79.957383,-88.383649,3
MXHERD-22-61,31-Jul-22,2022,79.662696,-84.440362,3
MXHERD-22-62,31-Jul-22,2022,79.657932,-84.472212,3
MXHERD-22-63,31-Jul-22,2022,79.659402,-84.956568,10
MXHERD-22-64,31-Jul-22,2022,79.782748,-85.434706,1
MXHERD-22-65,31-Jul-22,2022,79.791828,-85.468239,4
MXHERD-22-66,31-Jul-22,2022,79.822613,-85.848778,16
