LocalID,Report Date,Year of Death,First Sample Year,Species,Location,Latitude,Longitude,Sex,Age,Sampled,Definitive Case,Presumptive Case,Case,AnyTissueCulture,ACTissueCulture,AnyTissueCultureOrPCR,ACTissueCultureOrPCR,AnySoilCulture,ACSoilCulture,AnySoilCultureOrPCR,ACSoilCultureOrPCR,AnyTissueSoilCulture,ACTissueSoilCulture,AnyTissueSoilCultureOrPCR,ACTissueSoilCultureOrPCR
MX-23-68,08-Aug-18,2018,2023,Muskox,Ellesmere,80.136248,-85.528519,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-23-69,pre-2018,Unknown,2023,Muskox,Ellesmere,80.12677,-85.506269,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,Y
MX-23-70,12-Aug-23,Unknown,2023,Muskox,Ellesmere,80.129568,-85.502745,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-71,13-Aug-23,Unknown,2023,Muskox,Ellesmere,80.231105,-85.242104,M,5,Y,N,N,N,N,N,N,N,NA,NA,NA,NA,N,N,N,N
MX-23-72,13-Aug-23,Unknown,2023,Muskox,Ellesmere,80.268989,-85.405772,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-73,13-Aug-23,Unknown,NA,Muskox,Ellesmere,80.219377,-85.446985,M,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-23-74,13-Aug-23,Unknown,NA,Muskox,Ellesmere,80.197932,-85.523961,F,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-23-75,13-Aug-23,Unknown,2023,Muskox,Ellesmere,80.186751,-85.588993,M,5,Y,N,N,N,Y,N,Y,Y,N,N,N,N,Y,N,Y,Y
MX-23-76,28-Aug-23,2023,2023,Muskox,Ellesmere,80.19289,-85.34606,M,5,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y
MX-23-F-01,04-Aug-23,2023,2023,Muskox,Axel Heiberg,79.830284,-88.061294,M,5,Y,N,Y,Y,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y
MX-23-F-02,06-Aug-23,2023,2023,Muskox,Ellesmere,79.12964,-83.788926,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-F-03,12-Aug-23,2023,2023,Muskox,Axel Heiberg,80.623783,-91.535029,M,5,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-O-02,31-Jul-23,Unknown,2023,Muskox,Ellesmere,79.870506,-84.377132,M,NA,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-O-03,31-Jul-23,Unknown,2023,Muskox,Ellesmere,79.790701,-84.470259,F,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-O-04,31-Jul-23,Unknown,2023,Muskox,Ellesmere,79.824942,-84.501834,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,N,N,Y,Y,Y,Y
MX-23-O-06,31-Jul-23,Unknown,2023,Muskox,Ellesmere,79.791112,-85.799269,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-O-07,31-Jul-23,Unknown,2023,Muskox,Ellesmere,79.7162,-85.135968,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-O-08,01-Aug-23,Unknown,2023,Muskox,Ellesmere,80.156875,-84.634981,M,5,Y,N,N,N,NA,NA,NA,NA,N,N,Y,Y,N,N,Y,Y
MX-23-O-09,01-Aug-23,Unknown,2023,Muskox,Ellesmere,80.184599,-84.390042,M,5,Y,N,N,N,Y,Y,Y,Y,NA,NA,NA,NA,Y,Y,Y,Y
MX-23-O-10,01-Aug-23,Unknown,2023,Muskox,Ellesmere,79.955113,-84.71208,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-O-11,01-Aug-23,Unknown,2023,Muskox,Ellesmere,79.955219,-84.709169,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-23-O-12,02-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.587284,-90.881068,M,5,Y,N,N,N,Y,N,Y,N,Y,N,Y,N,Y,N,Y,N
MX-23-O-13,02-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.587335,-90.880823,M,5,Y,N,N,N,Y,Y,Y,Y,Y,N,Y,N,Y,Y,Y,Y
MX-23-O-14,02-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.587581,-90.899782,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-O-15,02-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.342897,-90.236664,M,5,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-O-16,03-Aug-23,Unknown,2023,Muskox,Axel Heiberg,79.946308,-87.371588,M,NA,Y,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-O-17,03-Aug-23,Unknown,2023,Muskox,Axel Heiberg,79.764491,-87.672491,M,5,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-O-20,03-Aug-23,Unknown,2023,Muskox,Axel Heiberg,79.661481,-87.630085,F,5,Y,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-O-21,03-Aug-23,Unknown,2023,Muskox,Axel Heiberg,79.410233,-86.362164,M,NA,Y,N,N,N,Y,Y,Y,Y,NA,NA,NA,NA,Y,Y,Y,Y
MX-23-O-22,04-Aug-23,Unknown,2023,Muskox,Ellesmere,80.259128,-82.232674,M,5,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,Y,N
MX-23-O-23,04-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.194562,-87.848322,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-O-24,04-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.199253,-87.843532,M,5,Y,N,N,N,N,N,Y,Y,N,N,Y,Y,N,N,Y,Y
MX-23-O-25,04-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.231779,-88.092533,M,5,Y,N,N,N,N,N,Y,Y,NA,NA,NA,NA,N,N,Y,Y
MX-23-O-26,04-Aug-23,Unknown,2023,Muskox,Axel Heiberg,80.273429,-88.295659,F,5,Y,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,Y,Y
MX-23-O-27,04-Aug-23,Unknown,2023,Muskox,Axel Heiberg,79.963664,-88.315983,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-O-28,05-Aug-23,Unknown,2023,Muskox,Ellesmere,79.365073,-81.213959,F,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-23-O-29,05-Aug-23,Unknown,2023,Muskox,Ellesmere,79.378545,-81.735795,M,5,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,Y,N
MX-23-O-30,05-Aug-23,Unknown,2023,Muskox,Ellesmere,79.411903,-81.752227,M,5,Y,N,N,N,N,N,Y,Y,NA,NA,NA,NA,N,N,Y,Y
MX-23-O-31,05-Aug-23,Unknown,2023,Muskox,Ellesmere,79.40744,-81.240893,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
