LocalID,Report Date,Year of Death,First Sample Year,Species,Location,Latitude,Longitude,Sex,Age,Sampled,Definitive Case,Presumptive Case,Case,AnyTissueCulture,ACTissueCulture,AnyTissueCultureOrPCR,ACTissueCultureOrPCR,AnySoilCulture,ACSoilCulture,AnySoilCultureOrPCR,ACSoilCultureOrPCR,AnyTissueSoilCulture,ACTissueSoilCulture,AnyTissueSoilCultureOrPCR,ACTissueSoilCultureOrPCR
MX-24-81,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.14377,-84.802972,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-24-82,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.188677,-84.808535,M,5,Y,N,N,N,Y,Y,Y,Y,N,N,Y,Y,Y,Y,Y,Y
MX-24-83,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.18798,-84.818847,M,4,Y,N,N,N,N,N,Y,Y,NA,NA,NA,NA,N,N,Y,Y
MX-24-84,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.186391,-84.827309,F,5,Y,N,N,N,N,N,Y,Y,NA,NA,NA,NA,N,N,Y,Y
MX-24-85,30-Jul-24,Unknown,NA,Muskox,Ellesmere,80.176563,-84.988738,M,NA,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX-24-86,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.177104,-84.993336,M,5,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
MX-24-87,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.177594,-85.009439,M,5,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,Y
MX-24-88,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.17559,-85.055453,M,5,Y,N,N,N,N,N,Y,N,NA,NA,NA,NA,N,N,Y,N
MX-24-89,30-Jul-24,Unknown,2024,Muskox,Ellesmere,80.175343,-85.053138,F,5,Y,N,N,N,N,N,N,N,NA,NA,NA,NA,N,N,N,N
MX-24-90,31-Jul-24,Unknown,NA,Muskox,Ellesmere,80.219534,-85.432945,F,5,N,N,N,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
